seed,scenario,method,view,regime,window,n_rows,state_mismatch_rate,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate
42,steady_m05,single_marginal,clean,transit_rough,all,720,0.0,2160,0,0,1544,0,616,0.0,,0.0,0.7148148148148148,,,0,,0,1.0,1.0,1.0,,,
42,steady_m05,single_marginal,clean,transit_rough,stable,720,0.0,2160,0,0,1544,0,616,0.0,,0.0,0.7148148148148148,,,0,,0,1.0,1.0,1.0,,,
42,steady_m05,single_marginal,observed,all,all,2160,0.0,6480,216,96,2755,120,3509,0.0336723956506489,0.4444444444444444,0.0626018910987936,0.4398148148148148,0.03166710932522682,0.36574074074074076,216,0.4236111111111111,432,0.6779835390946503,1.0,1.0,0.3333333333333333,0.4444444444444444,0.032407407407407406
42,steady_m05,single_marginal,observed,all,stable,2160,0.0,6480,216,96,2755,120,3509,0.0336723956506489,0.4444444444444444,0.0626018910987936,0.4398148148148148,0.03166710932522682,0.36574074074074076,216,0.4236111111111111,432,0.6779835390946503,1.0,1.0,0.3333333333333333,0.4444444444444444,0.032407407407407406
42,steady_m05,single_marginal,observed,warehouse,all,720,0.0,2160,72,1,23,71,2065,0.041666666666666664,0.013888888888888888,0.020833333333333332,0.011015325670498084,0.0400280411199125,0.4305555555555556,72,0.0,144,0.033950617283950615,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888
42,steady_m05,single_marginal,observed,warehouse,stable,720,0.0,2160,72,1,23,71,2065,0.041666666666666664,0.013888888888888888,0.020833333333333332,0.011015325670498084,0.0400280411199125,0.4305555555555556,72,0.0,144,0.033950617283950615,1.0,1.0,0.3333333333333333,0.013888888888888888,0.013888888888888888
42,steady_m05,single_marginal,observed,transit_smooth,all,720,0.0,2160,72,46,1244,26,844,0.03565891472868217,0.6388888888888888,0.06754772393538913,0.5957854406130269,0.057698421672284665,0.5833333333333334,72,0.6180555555555556,144,1.0,1.0,1.0,0.3333333333333333,0.6388888888888888,0.08333333333333333
42,steady_m05,single_marginal,observed,transit_smooth,stable,720,0.0,2160,72,46,1244,26,844,0.03565891472868217,0.6388888888888888,0.06754772393538913,0.5957854406130269,0.057698421672284665,0.5833333333333334,72,0.6180555555555556,144,1.0,1.0,1.0,0.3333333333333333,0.6388888888888888,0.08333333333333333
42,steady_m05,single_marginal,observed,transit_rough,all,720,0.0,2160,72,49,1488,23,600,0.03188028627195836,0.6805555555555556,0.060907395898073334,0.7126436781609196,0.025164276287059698,0.08333333333333333,72,0.6527777777777778,144,1.0,1.0,1.0,0.3333333333333333,0.6805555555555556,0.0
42,steady_m05,single_marginal,observed,transit_rough,stable,720,0.0,2160,72,49,1488,23,600,0.03188028627195836,0.6805555555555556,0.060907395898073334,0.7126436781609196,0.025164276287059698,0.08333333333333333,72,0.6527777777777778,144,1.0,1.0,1.0,0.3333333333333333,0.6805555555555556,0.0
