seed,method,view,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,scenario,compare_to
46,regime_marginal,observed,-0.2131062017567208,-0.16666666666666666,-0.28050772904360943,-0.2451301310075483,0.0,0.0,-0.21759259259259256,0.0,-0.16666666666666666,-0.16203703703703703,0.0,steady_m1,steady_m2_r10_k1
46,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
46,pooled_conditional,observed,-0.2163919413919414,-0.16666666666666666,-0.2827260458839406,-0.17770165918425682,-0.0017560664112388248,-0.02546296296296296,-0.19444444444444448,0.0,-0.16666666666666666,-0.11111111111111113,0.0,steady_m1,steady_m2_r10_k1
46,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m1,steady_m2_r10_k1
46,regime_conditional,observed,-0.3685823754789272,-0.3287037037037037,-0.38729906376965195,-0.3379527676674973,-0.0012771392081736919,-0.018518518518518517,-0.2685185185185185,0.0,-0.3287037037037037,-0.2916666666666667,0.0,steady_m1,steady_m2_r10_k1
42,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
42,single_marginal,observed,0.0446663865788509,0.3379629629629629,0.02390933533438712,0.011869923507248178,0.0,0.0,0.060185185185185175,0.0,0.3379629629629629,0.20833333333333331,0.0,steady_m4,steady_m2_r10_k1
42,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
42,pooled_marginal,observed,0.3468247467825777,0.33333333333333337,0.3337721055342528,0.34083518981501365,0.0,0.0,0.2731481481481482,0.0,0.33333333333333337,0.3333333333333333,0.0,steady_m4,steady_m2_r10_k1
42,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
42,regime_marginal,observed,0.4875095993133668,0.6574074074074074,0.24639944473364572,0.5787972350172449,0.0,0.0,0.16666666666666663,0.0,0.6574074074074074,0.6574074074074074,0.0,steady_m4,steady_m2_r10_k1
42,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
42,pooled_conditional,observed,0.2662775994553059,0.34259259259259256,0.15262257122722234,0.26931501983698375,0.004469987228607917,0.06481481481481481,0.17592592592592593,0.0,0.34259259259259256,0.212962962962963,0.0,steady_m4,steady_m2_r10_k1
42,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
42,regime_conditional,observed,0.32190969652109547,0.5925925925925926,0.1221614227086183,0.5289878552835374,0.0073435504469987235,0.10648148148148148,0.17592592592592593,0.0,0.5925925925925926,0.375,0.0,steady_m4,steady_m2_r10_k1
43,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
43,single_marginal,observed,0.057007191965398205,0.4444444444444444,0.03045251229230718,0.01525746641517101,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.22222222222222227,0.0,steady_m4,steady_m2_r10_k1
43,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
43,pooled_marginal,observed,0.3205080358755192,0.3657407407407407,0.2664009809932557,0.374182505821016,0.0,0.0,0.21759259259259267,0.0,0.3657407407407407,0.36111111111111116,0.0,steady_m4,steady_m2_r10_k1
43,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
43,regime_marginal,observed,0.4673750274707022,0.6574074074074074,0.30855010966935204,0.6618380726681165,0.0,0.0,0.2407407407407407,0.0,0.6574074074074074,0.6435185185185185,0.0,steady_m4,steady_m2_r10_k1
43,pooled_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
43,pooled_conditional,observed,0.2870026143477322,0.41666666666666674,0.12990167727009838,0.32428103412820636,0.007343550446998722,0.10648148148148148,0.17129629629629628,0.0,0.41666666666666674,0.2222222222222222,0.0,steady_m4,steady_m2_r10_k1
43,regime_conditional,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
43,regime_conditional,observed,0.3381019098886513,0.6203703703703705,0.13239320920043812,0.5401068681065275,0.008301404853128991,0.12037037037037038,0.19907407407407407,0.0,0.6203703703703705,0.38425925925925924,0.0,steady_m4,steady_m2_r10_k1
44,single_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
44,single_marginal,observed,0.046213456178788234,0.3472222222222222,0.02474964480180098,0.01301887014772099,0.0,0.0,0.11111111111111116,0.0,0.3472222222222222,0.24074074074074073,0.0,steady_m4,steady_m2_r10_k1
44,pooled_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
44,pooled_marginal,observed,0.34277198211624443,0.3194444444444444,0.3066666666666667,0.3599721045921736,0.0,0.0,0.19907407407407407,0.0,0.3194444444444444,0.3148148148148148,0.0,steady_m4,steady_m2_r10_k1
44,regime_marginal,clean,0.0,,0.0,,0.0,,,,,,0.0,steady_m4,steady_m2_r10_k1
44,regime_marginal,observed,0.5594952549796641,0.6712962962962963,0.318925831202046,0.6636872421037296,0.0,0.0,0.29166666666666663,0.0,0.6712962962962963,0.6666666666666667,0.0,steady_m4,steady_m2_r10_k1
