scenario,compare_to,method,view,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count
steady_r02,steady_m2_r10_k1,pooled_conditional,observed,-0.09662237352140207,0.04664728638379024,5,0.008333333333333331,0.06112601529813398,5,-0.24127403804606556,0.02747905622447792,5,-0.09524200167071893,0.05282397848828807,5,-0.0021961552391300205,0.0013400729401086616,5,-0.0060185185185185185,0.014161105480724804,5,-0.011574074074074093,0.02777777777777779,5,0.0,0.0,5,0.008333333333333331,0.06112601529813398,5,0.018518518518518524,0.05747550471266267,5,0.0,0.0,5
steady_r02,steady_m2_r10_k1,pooled_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r02,steady_m2_r10_k1,pooled_marginal,observed,-0.06870051787223547,0.01414246895306013,5,0.015740740740740746,0.02817995887691334,5,-0.17081675263356072,0.031121390556589416,5,-0.048843380601997215,0.04946412073237525,5,-0.00014010407731457653,0.00015229014644435856,5,0.005555555555555555,0.010397358648831345,5,0.007870370370370361,0.04564354645876382,5,0.0,0.0,5,0.015740740740740746,0.02817995887691334,5,0.006481481481481486,0.024078525229529336,5,0.0,0.0,5
steady_r02,steady_m2_r10_k1,regime_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r02,steady_m2_r10_k1,regime_conditional,observed,-0.1510249929300561,0.030716974814947257,5,0.04166666666666667,0.050899614415037105,5,-0.294129605411645,0.023546123266449736,5,-0.1676445479291881,0.06117308789121675,5,-0.001170631516745773,0.0005968840598107509,5,0.009259259259259262,0.020801158281957676,5,0.031481481481481464,0.06334307917217434,5,0.0,0.0,5,0.04166666666666667,0.050899614415037105,5,0.021296296296296303,0.04050595224596673,5,0.0,0.0,5
steady_r02,steady_m2_r10_k1,regime_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r02,steady_m2_r10_k1,regime_marginal,observed,-0.1067605963990329,0.03668960865601012,5,0.03287037037037037,0.04938753834479477,5,-0.28766252870784714,0.0562700533364393,5,-0.1671294931063929,0.05761780907363992,5,1.2151884256876403e-05,0.0002557248563341044,5,0.0013888888888888887,0.0037859785263416957,5,0.035648148148148096,0.05825336229014593,5,0.0,0.0,5,0.03287037037037037,0.04938753834479477,5,0.03564814814814814,0.0515949322805742,5,0.0,0.0,5
steady_r02,steady_m2_r10_k1,single_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r02,steady_m2_r10_k1,single_marginal,observed,-0.05597565325361977,0.008378261172039065,5,0.022685185185185176,0.05182290858872491,5,-0.030630609078758496,0.004575011449694679,5,-0.02848552938690646,0.0055910056519679575,5,-0.001280951564018995,0.0013922357182111142,5,-0.008796296296296302,0.029321495284754525,5,0.009722222222222233,0.0781639991823319,5,0.0,0.0,5,0.022685185185185176,0.05182290858872491,5,0.02685185185185186,0.015493704195075468,5,0.0,0.0,5
steady_r20,steady_m2_r10_k1,pooled_conditional,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r20,steady_m2_r10_k1,pooled_conditional,observed,0.02380386114802961,0.03930299751458995,5,-0.004629629629629628,0.03127142612524605,5,0.14205639283003008,0.03328861175941713,5,0.06654652906816105,0.035775825473608844,5,0.001500638569604086,0.0007554388142677345,5,-0.008564814814814813,0.014142173513061046,5,-0.007407407407407418,0.05043428508943947,5,0.0,0.0,5,-0.004629629629629628,0.03127142612524605,5,0.010648148148148151,0.03038497559835261,5,0.0,0.0,5
steady_r20,steady_m2_r10_k1,pooled_marginal,clean,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0,0.0,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5
steady_r20,steady_m2_r10_k1,pooled_marginal,observed,0.035023184511900965,0.031059653061471505,5,0.007870370370370371,0.01898994842777192,5,0.16332594681097604,0.03593337679165626,5,0.07607094332203072,0.02003524755422797,5,5.929574895092056e-05,0.00033207589039337083,5,0.0020833333333333333,0.004658474953124561,5,0.01157407407407408,0.05660657065109945,5,0.0,0.0,5,0.007870370370370371,0.01898994842777192,5,0.00509259259259259,0.018691323368691063,5,0.0,0.0,5
