seed,method,scenario,regime,n_cells,positive_cells,tp,fp,fn,tn,precision,recall,f1,clean_channel_fpr,average_precision,top1_localization,localization_rows,bystander_fpr,bystander_cells,clean_row_alarm_rate,score_coverage,common_complete_row_fraction
42,regime_conditional,clean,warehouse,1920,0,0,23,0,1897,0.0,,0.0,0.011979166666666667,,,0,,0,0.0328125,1.0,1.0
42,regime_conditional,clean,transit_smooth,1920,0,0,25,0,1895,0.0,,0.0,0.013020833333333334,,,0,,0,0.0375,1.0,1.0
42,regime_conditional,clean,transit_rough,1920,0,0,28,0,1892,0.0,,0.0,0.014583333333333334,,,0,,0,0.04375,1.0,1.0
43,single_marginal,observed,all,5646,154,101,2351,53,3141,0.04119086460032626,0.6558441558441559,0.07751343054489639,0.4280772032046613,0.1956510034782354,0.4025974025974026,154,0.5292207792207793,308,0.6660879629629629,0.9934027777777777,0.9802083333333333
43,single_marginal,observed,warehouse,1869,28,23,18,5,1823,0.5609756097560976,0.8214285714285714,0.6666666666666666,0.00977729494839761,0.8214713959437814,0.8571428571428571,28,0.0,56,0.030252100840336135,0.9911458333333333,0.9734375
43,single_marginal,observed,transit_smooth,1857,54,39,999,15,804,0.03757225433526012,0.7222222222222222,0.07142857142857142,0.5540765391014975,0.2671892962310232,0.3333333333333333,54,0.5277777777777778,108,1.0,0.9890625,0.9671875
43,single_marginal,observed,transit_rough,1920,72,39,1334,33,514,0.028404952658412235,0.5416666666666666,0.05397923875432526,0.7218614718614719,0.23158614526266202,0.2777777777777778,72,0.7361111111111112,144,1.0,1.0,1.0
43,single_marginal,clean,all,5760,0,0,2464,0,3296,0.0,,0.0,0.42777777777777776,,,0,,0,0.6760416666666667,1.0,1.0
43,single_marginal,clean,warehouse,1920,0,0,18,0,1902,0.0,,0.0,0.009375,,,0,,0,0.028125,1.0,1.0
43,single_marginal,clean,transit_smooth,1920,0,0,1066,0,854,0.0,,0.0,0.5552083333333333,,,0,,0,1.0,1.0,1.0
43,single_marginal,clean,transit_rough,1920,0,0,1380,0,540,0.0,,0.0,0.71875,,,0,,0,1.0,1.0,1.0
43,pooled_marginal,observed,all,5646,154,51,105,103,5387,0.3269230769230769,0.33116883116883117,0.32903225806451614,0.019118718135469774,0.3057485360004718,0.6558441558441559,154,0.025974025974025976,308,0.047453703703703706,0.9934027777777777,0.9802083333333333
43,pooled_marginal,observed,warehouse,1869,28,12,2,16,1839,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.0010863661053775121,0.46168393968832766,0.6428571428571429,28,0.0,56,0.0033613445378151263,0.9911458333333333,0.9734375
43,pooled_marginal,observed,transit_smooth,1857,54,10,7,44,1796,0.5882352941176471,0.18518518518518517,0.28169014084507044,0.003882418191902385,0.4146681697382572,0.8333333333333334,54,0.0,108,0.012389380530973451,0.9890625,0.9671875
43,pooled_marginal,observed,transit_rough,1920,72,29,96,43,1752,0.232,0.4027777777777778,0.29441624365482233,0.05194805194805195,0.3478333624359427,0.5277777777777778,72,0.05555555555555555,144,0.12852112676056338,1.0,1.0
43,pooled_marginal,clean,all,5760,0,0,109,0,5651,0.0,,0.0,0.01892361111111111,,,0,,0,0.04739583333333333,1.0,1.0
43,pooled_marginal,clean,warehouse,1920,0,0,2,0,1918,0.0,,0.0,0.0010416666666666667,,,0,,0,0.003125,1.0,1.0
43,pooled_marginal,clean,transit_smooth,1920,0,0,7,0,1913,0.0,,0.0,0.0036458333333333334,,,0,,0,0.0109375,1.0,1.0
43,pooled_marginal,clean,transit_rough,1920,0,0,100,0,1820,0.0,,0.0,0.052083333333333336,,,0,,0,0.128125,1.0,1.0
43,regime_marginal,observed,all,5646,154,88,82,66,5410,0.5176470588235295,0.5714285714285714,0.5432098765432098,0.014930808448652586,0.60440005012986,0.8181818181818182,154,0.012987012987012988,308,0.04050925925925926,0.9934027777777777,0.9802083333333333
43,regime_marginal,observed,warehouse,1869,28,23,18,5,1823,0.5609756097560976,0.8214285714285714,0.6666666666666666,0.00977729494839761,0.8214713959437814,0.8571428571428571,28,0.0,56,0.030252100840336135,0.9911458333333333,0.9734375
