scenario,method,alpha,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count
steady_m05,regime_conditional,1.0,clean,0.1,0.037267799624996496,5,0.1,0.037267799624996496,5,0.025,0.02282177322938192,5,4.933333333333334,2.947692129257886,5,8.541666666666668,0.2990145853001523,5
steady_m05,regime_conditional,1.0,observed,0.15,0.037267799624996496,5,0.15,0.037267799624996496,5,0.025,0.02282177322938192,5,4.473333333333334,2.2418246536644606,5,8.125,0.5017331074496791,5
steady_m05,regime_marginal,0.2,clean,0.025,0.02282177322938192,5,0.016666666666666666,0.02282177322938192,5,0.016666666666666666,0.03726779962499649,5,4.5,3.5355339059327378,2,8.875,0.18633899812498217,5
steady_m05,regime_marginal,0.2,observed,0.05,0.018633899812498248,5,0.041666666666666664,0.0,5,0.016666666666666666,0.03726779962499649,5,4.0,1.4142135623730951,5,8.766666666666667,0.18066236157232343,5
steady_m05,regime_marginal,1.0,clean,0.075,0.09033118078616167,5,0.075,0.09033118078616167,5,0.016666666666666666,0.02282177322938192,5,4.377777777777777,1.2226261958647928,3,8.658333333333333,0.4149966532662912,5
steady_m05,regime_marginal,1.0,observed,0.075,0.03486083443891982,5,0.075,0.03486083443891982,5,0.016666666666666666,0.02282177322938192,5,4.433333333333333,2.367605447610635,5,8.608333333333334,0.17330528619237798,5
steady_m1,regime_conditional,0.2,clean,0.06666666666666667,0.04750730937913076,5,0.06666666666666667,0.04750730937913076,5,0.008333333333333333,0.018633899812498245,5,6.5,1.9578900207451218,4,8.666666666666668,0.26679684322636904,5
steady_m1,regime_conditional,0.2,observed,0.5583333333333333,0.05590169943749474,5,0.5416666666666667,0.0416666666666667,5,0.03333333333333333,0.04564354645876384,5,4.575641025641025,0.7938249550618438,5,6.141666666666667,0.2969754946867577,5
steady_m1,regime_conditional,1.0,clean,0.1,0.037267799624996496,5,0.1,0.037267799624996496,5,0.025,0.02282177322938192,5,4.933333333333334,2.947692129257886,5,8.541666666666668,0.2990145853001523,5
steady_m1,regime_conditional,1.0,observed,0.4583333333333333,0.10622957319984969,5,0.4583333333333333,0.10622957319984969,5,0.025,0.02282177322938192,5,3.8525974025974024,1.037594474643194,5,6.35,0.2527625148017183,5
steady_m1,regime_marginal,0.2,clean,0.025,0.02282177322938192,5,0.016666666666666666,0.02282177322938192,5,0.016666666666666666,0.03726779962499649,5,4.5,3.5355339059327378,2,8.875,0.18633899812498217,5
steady_m1,regime_marginal,0.2,observed,0.175,0.09033118078616166,5,0.16666666666666669,0.07216878364870323,5,0.025,0.03726779962499649,5,5.364285714285714,1.895281466361842,5,8.141666666666667,0.3195048252113469,5
steady_m1,regime_marginal,1.0,clean,0.075,0.09033118078616167,5,0.075,0.09033118078616167,5,0.016666666666666666,0.02282177322938192,5,4.377777777777777,1.2226261958647928,3,8.658333333333333,0.4149966532662912,5
steady_m1,regime_marginal,1.0,observed,0.2666666666666667,0.08122328620674137,5,0.2666666666666667,0.08122328620674137,5,0.016666666666666666,0.02282177322938192,5,4.053571428571429,0.6806828054480686,5,7.525,0.5940971207545855,5
steady_m2_r10_k1,regime_conditional,0.2,clean,0.06666666666666667,0.04750730937913076,5,0.06666666666666667,0.04750730937913076,5,0.008333333333333333,0.018633899812498245,5,6.5,1.9578900207451218,4,8.666666666666668,0.26679684322636904,5
steady_m2_r10_k1,regime_conditional,0.2,observed,0.9916666666666666,0.018633899812498234,5,0.975,0.03726779962499651,5,0.03333333333333333,0.04564354645876384,5,2.3944664031620553,0.22768507565546867,5,2.533333333333333,0.35526789578820345,5
steady_m2_r10_k1,regime_conditional,1.0,clean,0.1,0.037267799624996496,5,0.1,0.037267799624996496,5,0.025,0.02282177322938192,5,4.933333333333334,2.947692129257886,5,8.541666666666668,0.2990145853001523,5
