seed,scenario,method,alpha,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,event_channel_count
44,steady_m1,regime_marginal,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m1,regime_marginal,1.0,observed,0.125,0.125,0.0,4.0,8.25,24
44,steady_m2_r10_k1,regime_conditional,0.2,clean,0.125,0.125,0.0,7.0,8.625,24
44,steady_m2_r10_k1,regime_conditional,0.2,observed,0.9583333333333334,0.9166666666666666,0.08333333333333333,2.3636363636363638,2.6666666666666665,24
44,steady_m2_r10_k1,regime_conditional,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m2_r10_k1,regime_conditional,1.0,observed,0.9583333333333334,0.9583333333333334,0.08333333333333333,1.391304347826087,1.5833333333333333,24
44,steady_m2_r10_k1,regime_marginal,0.2,clean,0.0,0.0,0.0,,9.0,24
44,steady_m2_r10_k1,regime_marginal,0.2,observed,0.7083333333333334,0.6666666666666666,0.08333333333333333,5.125,5.916666666666667,24
44,steady_m2_r10_k1,regime_marginal,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m2_r10_k1,regime_marginal,1.0,observed,0.7083333333333334,0.7083333333333334,0.041666666666666664,3.5294117647058822,4.75,24
44,steady_m4,regime_conditional,0.2,clean,0.125,0.125,0.0,7.0,8.625,24
44,steady_m4,regime_conditional,0.2,observed,1.0,1.0,0.08333333333333333,0.875,0.875,24
44,steady_m4,regime_conditional,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m4,regime_conditional,1.0,observed,1.0,0.9166666666666666,0.08333333333333333,0.0,0.5,24
44,steady_m4,regime_marginal,0.2,clean,0.0,0.0,0.0,,9.0,24
44,steady_m4,regime_marginal,0.2,observed,1.0,0.9166666666666666,0.08333333333333333,1.7272727272727273,2.0833333333333335,24
44,steady_m4,regime_marginal,1.0,clean,0.041666666666666664,0.041666666666666664,0.0,3.0,8.875,24
44,steady_m4,regime_marginal,1.0,observed,1.0,1.0,0.08333333333333333,0.20833333333333334,0.20833333333333334,24
44,steady_r02,regime_conditional,0.2,clean,0.0,0.0,0.0,,4.0,12
44,steady_r02,regime_conditional,0.2,observed,0.75,0.75,0.0,1.2222222222222223,1.9166666666666667,12
44,steady_r02,regime_conditional,1.0,clean,0.0,0.0,0.0,,4.0,12
44,steady_r02,regime_conditional,1.0,observed,0.8333333333333334,0.8333333333333334,0.0,0.4,1.0,12
44,steady_r02,regime_marginal,0.2,clean,0.0,0.0,0.0,,4.0,12
44,steady_r02,regime_marginal,0.2,observed,0.3333333333333333,0.3333333333333333,0.0,1.5,3.1666666666666665,12
44,steady_r02,regime_marginal,1.0,clean,0.0,0.0,0.0,,4.0,12
44,steady_r02,regime_marginal,1.0,observed,0.4166666666666667,0.4166666666666667,0.0,0.2,2.4166666666666665,12
44,steady_r20,regime_conditional,0.2,clean,0.1388888888888889,0.1388888888888889,0.0,7.2,11.333333333333334,36
44,steady_r20,regime_conditional,0.2,observed,1.0,1.0,0.05555555555555555,2.5277777777777777,2.5277777777777777,36
44,steady_r20,regime_conditional,1.0,clean,0.1388888888888889,0.1388888888888889,0.0,6.4,11.222222222222221,36
44,steady_r20,regime_conditional,1.0,observed,1.0,1.0,0.05555555555555555,1.6388888888888888,1.6388888888888888,36
44,steady_r20,regime_marginal,0.2,clean,0.05555555555555555,0.05555555555555555,0.0,5.5,11.63888888888889,36
44,steady_r20,regime_marginal,0.2,observed,0.8611111111111112,0.8611111111111112,0.05555555555555555,5.258064516129032,6.194444444444445,36
44,steady_r20,regime_marginal,1.0,clean,0.1111111111111111,0.1111111111111111,0.0,3.25,11.027777777777779,36
44,steady_r20,regime_marginal,1.0,observed,0.9166666666666666,0.9166666666666666,0.027777777777777776,3.9696969696969697,4.638888888888889,36
