seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,alpha
42,steady_m1,regime_conditional,clean,transit_smooth,all,0.0,,0.0,,-0.003703703703703703,,,,,,0.0,-0.023809523809523808,-4.62962962962963,0.2
42,steady_m1,regime_conditional,clean,transit_smooth,stable,0.0,,0.0,,-0.003703703703703703,,,,,,0.0,-0.023809523809523808,-4.62962962962963,0.2
42,steady_m1,regime_conditional,clean,transit_rough,all,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m1,regime_conditional,clean,transit_rough,stable,0.0,,0.0,,-0.001851851851851851,,,,,,0.0,-0.01111111111111111,-2.777777777777777,0.2
42,steady_m1,regime_conditional,observed,all,all,0.2817604731939672,0.23611111111111113,0.3383458646616541,0.2559070856792333,-0.002075351213282249,0.0,0.22685185185185186,0.0,0.23611111111111113,0.2314814814814815,0.0,-0.003703703703703702,-5.268199233716475,0.2
42,steady_m1,regime_conditional,observed,all,stable,0.2817604731939672,0.23611111111111113,0.3383458646616541,0.2559070856792333,-0.002075351213282249,0.0,0.22685185185185186,0.0,0.23611111111111113,0.2314814814814815,0.0,-0.003703703703703702,-5.268199233716475,0.2
42,steady_m1,regime_conditional,observed,warehouse,all,0.36311732800456753,0.3194444444444444,0.4165103189493433,0.34584022086212624,-0.005747126436781609,0.020833333333333332,0.20833333333333337,0.0,0.3194444444444444,0.3055555555555555,0.0,-0.020833333333333332,-9.578544061302681,0.2
42,steady_m1,regime_conditional,observed,warehouse,stable,0.36311732800456753,0.3194444444444444,0.4165103189493433,0.34584022086212624,-0.005747126436781609,0.020833333333333332,0.20833333333333337,0.0,0.3194444444444444,0.3055555555555555,0.0,-0.020833333333333332,-9.578544061302681,0.2
42,steady_m1,regime_conditional,observed,transit_smooth,all,0.29496699669966997,0.20833333333333331,0.5028735632183907,0.26744177048057227,-0.0047892720306513415,-0.027777777777777776,0.33333333333333337,0.0,0.20833333333333331,0.20833333333333331,0.0,-0.023809523809523808,-5.747126436781608,0.2
42,steady_m1,regime_conditional,observed,transit_smooth,stable,0.29496699669966997,0.20833333333333331,0.5028735632183907,0.26744177048057227,-0.0047892720306513415,-0.027777777777777776,0.33333333333333337,0.0,0.20833333333333331,0.20833333333333331,0.0,-0.023809523809523808,-5.747126436781608,0.2
42,steady_m1,regime_conditional,observed,transit_rough,all,0.1818469323213156,0.18055555555555558,0.1371794871794872,0.18223167492067385,0.004310344827586207,0.006944444444444444,0.13888888888888884,0.0,0.18055555555555558,0.18055555555555558,0.0,0.03333333333333333,-0.47892720306513326,0.2
42,steady_m1,regime_conditional,observed,transit_rough,stable,0.1818469323213156,0.18055555555555558,0.1371794871794872,0.18223167492067385,0.004310344827586207,0.006944444444444444,0.13888888888888884,0.0,0.18055555555555558,0.18055555555555558,0.0,0.03333333333333333,-0.47892720306513326,0.2
42,steady_m2_r10_k1,regime_marginal,clean,all,all,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m2_r10_k1,regime_marginal,clean,all,stable,0.0,,0.0,,0.0007716049382716049,,,,,,0.0,-0.011111111111111112,-4.4753086419753085,0.2
42,steady_m2_r10_k1,regime_marginal,clean,warehouse,all,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
42,steady_m2_r10_k1,regime_marginal,clean,warehouse,stable,0.0,,0.0,,0.012499999999999999,,,,,,0.0,-0.020833333333333332,-3.2407407407407396,0.2
42,steady_m2_r10_k1,regime_marginal,clean,transit_smooth,all,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
42,steady_m2_r10_k1,regime_marginal,clean,transit_smooth,stable,0.0,,0.0,,-0.005555555555555555,,,,,,0.0,0.0,-5.555555555555555,0.2
