seed,method,alpha,regime,channel,threshold,n_calibration_cells,calibration_fpr
42,regime_conditional,0.2,transit_smooth,2,0.9206520202410018,720,0.011111111111111112
42,regime_conditional,0.2,warehouse,0,1.1641345728833878,720,0.011111111111111112
42,regime_conditional,0.2,warehouse,1,0.9755805654710474,720,0.011111111111111112
42,regime_conditional,0.2,warehouse,2,0.6887063615055562,720,0.011111111111111112
43,regime_marginal,1.0,transit_rough,0,2.4833447147762646,720,0.011111111111111112
43,regime_marginal,1.0,transit_rough,1,2.6569815542594433,720,0.011111111111111112
43,regime_marginal,1.0,transit_rough,2,2.3503326541844975,720,0.011111111111111112
43,regime_marginal,1.0,transit_smooth,0,2.5365870565564967,720,0.011111111111111112
43,regime_marginal,1.0,transit_smooth,1,2.4930607521229846,720,0.011111111111111112
43,regime_marginal,1.0,transit_smooth,2,2.250810962963996,720,0.011111111111111112
43,regime_marginal,1.0,warehouse,0,2.3884006792628947,720,0.011111111111111112
43,regime_marginal,1.0,warehouse,1,2.3273959976147047,720,0.011111111111111112
43,regime_marginal,1.0,warehouse,2,2.0197084212945877,720,0.011111111111111112
43,regime_marginal,0.2,transit_rough,0,1.3572417963087262,720,0.011111111111111112
43,regime_marginal,0.2,transit_rough,1,1.262772673886911,720,0.011111111111111112
43,regime_marginal,0.2,transit_rough,2,1.1402809093269115,720,0.011111111111111112
43,regime_marginal,0.2,transit_smooth,0,1.7576826233326972,720,0.011111111111111112
43,regime_marginal,0.2,transit_smooth,1,1.2945811233652844,720,0.011111111111111112
43,regime_marginal,0.2,transit_smooth,2,1.1916845964660332,720,0.011111111111111112
43,regime_marginal,0.2,warehouse,0,1.3548560686773632,720,0.011111111111111112
43,regime_marginal,0.2,warehouse,1,1.143781338797645,720,0.011111111111111112
43,regime_marginal,0.2,warehouse,2,0.9319021341648575,720,0.011111111111111112
43,regime_conditional,1.0,transit_rough,0,2.3632855534093773,720,0.011111111111111112
43,regime_conditional,1.0,transit_rough,1,2.8310050824626347,720,0.011111111111111112
43,regime_conditional,1.0,transit_rough,2,2.450736272006838,720,0.011111111111111112
43,regime_conditional,1.0,transit_smooth,0,2.567645067688849,720,0.011111111111111112
43,regime_conditional,1.0,transit_smooth,1,2.5380918551343017,720,0.011111111111111112
43,regime_conditional,1.0,transit_smooth,2,2.3867150924405633,720,0.011111111111111112
43,regime_conditional,1.0,warehouse,0,2.488551928693107,720,0.011111111111111112
43,regime_conditional,1.0,warehouse,1,2.4032119188454097,720,0.011111111111111112
43,regime_conditional,1.0,warehouse,2,2.000112511070737,720,0.011111111111111112
43,regime_conditional,0.2,transit_rough,0,0.9666967433757844,720,0.011111111111111112
