scenario,method,view,regime,window,support,comparison,f1_mean,f1_std,f1_count,recall_mean,recall_std,recall_count,precision_mean,precision_std,precision_count,average_precision_mean,average_precision_std,average_precision_count,clean_channel_fpr_mean,clean_channel_fpr_std,clean_channel_fpr_count,bystander_fpr_mean,bystander_fpr_std,bystander_fpr_count,top1_localization_mean,top1_localization_std,top1_localization_count,top1_random_baseline_mean,top1_random_baseline_std,top1_random_baseline_count,all_faults_row_recall_mean,all_faults_row_recall_std,all_faults_row_recall_count,exact_fault_set_rate_mean,exact_fault_set_rate_std,exact_fault_set_rate_count,score_coverage_mean,score_coverage_std,score_coverage_count,post_event_fpr_mean,post_event_fpr_std,post_event_fpr_count,false_onsets_per_1000_clean_cells_mean,false_onsets_per_1000_clean_cells_std,false_onsets_per_1000_clean_cells_count,native_score_coverage_mean,native_score_coverage_std,native_score_coverage_count,common_row_fraction_mean,common_row_fraction_std,common_row_fraction_count,all_timeline_recall_mean,all_timeline_recall_std,all_timeline_recall_count,all_timeline_f1_mean,all_timeline_f1_std,all_timeline_f1_count,unavailable_positive_fraction_mean,unavailable_positive_fraction_std,unavailable_positive_fraction_count
steady_k2,regime_conditional,clean,transit_rough,all,own,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-1.7226528854435292e-05,0.00345330077420161,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.007160493827160494,0.010186120420960095,5,-2.4698535745047376,1.2485427410211534,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_rough,all,own,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0018346253229974165,0.006679171263046555,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.00802469135802469,0.00761038765798639,5,-5.340223944875108,1.8283384687491058,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_rough,stable,common,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0002906976744186045,0.003915136405200953,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.007160493827160494,0.010186120420960095,5,-2.6162790697674416,1.5167127754359038,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_rough,stable,common,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0015503875968992244,0.006512824617793211,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.00802469135802469,0.00761038765798639,5,-5.620155038759689,1.6642988408253554,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_rough,stable,own,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-1.7226528854435292e-05,0.00345330077420161,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.007160493827160494,0.010186120420960095,5,-2.4698535745047376,1.2485427410211534,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_rough,stable,own,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,0.0018346253229974165,0.006679171263046555,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.00802469135802469,0.00761038765798639,5,-5.340223944875108,1.8283384687491058,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_smooth,all,common,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0015503875968992248,0.0032028088916741105,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.003370049829530554,0.0048993462193663686,5,-1.065891472868217,2.0383414697638207,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_smooth,all,common,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0023255813953488376,0.00727067111717212,5,,,0,,,0,,,0,,,0,,,0,0.0,0.0,5,-0.010751064653503678,0.00910038393764774,5,-5.426356589147287,3.8210744482810766,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_smooth,all,own,sma_minus_ewma,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0014319552110249787,0.003054029339757881,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.0033410138248847927,0.0048795305880049746,5,-1.0142118863049099,1.8780725113339185,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
steady_k2,regime_conditional,clean,transit_smooth,all,own,sma_minus_point,0.0,0.0,5,,,0,0.0,0.0,5,,,0,-0.0021726959517657193,0.007247757819634761,5,,,0,,,0,,,0,,,0,,,0,-0.0444444444444444,0.0,5,-0.010634920634920634,0.008883927186638552,5,-5.2734711455641685,3.679142377246212,5,-0.0444444444444444,0.0,5,0.0,0.0,5,,,0,0.0,0.0,5,,,0
