seed,scenario,method,temporal,view,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,event_channel_count
43,steady_k2,regime_marginal,ewma,clean,0.041666666666666664,0.041666666666666664,0.0,4.5,8.6875,1.0,0.0,48
43,steady_k2,regime_marginal,ewma,observed,0.7291666666666666,0.7291666666666666,0.020833333333333332,3.8857142857142857,4.833333333333333,1.0,0.0,48
43,steady_k2,regime_marginal,point,clean,0.125,0.125,0.0,4.333333333333333,8.416666666666666,1.0,0.0,48
43,steady_k2,regime_marginal,point,observed,0.8125,0.8125,0.0,1.3846153846153846,2.625,1.0,0.0,48
43,steady_k2,regime_marginal,sma,clean,0.041666666666666664,0.041666666666666664,0.0,6.5,8.770833333333334,0.9722222222222222,0.0,48
43,steady_k2,regime_marginal,sma,observed,0.7083333333333334,0.6875,0.020833333333333332,5.333333333333333,5.791666666666667,0.9722222222222222,0.0,48
43,steady_m05,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,5.5,8.458333333333334,1.0,0.0,24
43,steady_m05,regime_conditional,ewma,observed,0.125,0.125,0.0,2.3333333333333335,8.041666666666666,1.0,0.0,24
43,steady_m05,regime_conditional,point,clean,0.125,0.125,0.0,2.0,8.25,1.0,0.0,24
43,steady_m05,regime_conditional,point,observed,0.20833333333333334,0.20833333333333334,0.0,3.2,7.666666666666667,1.0,0.0,24
43,steady_m05,regime_conditional,sma,clean,0.0,0.0,0.0,,9.0,0.9722222222222222,0.0,24
43,steady_m05,regime_conditional,sma,observed,0.08333333333333333,0.08333333333333333,0.0,5.5,8.708333333333334,0.9722222222222222,0.0,24
43,steady_m05,regime_marginal,ewma,clean,0.041666666666666664,0.041666666666666664,0.0,7.0,8.791666666666666,1.0,0.0,24
43,steady_m05,regime_marginal,ewma,observed,0.041666666666666664,0.041666666666666664,0.0,3.0,8.625,1.0,0.0,24
43,steady_m05,regime_marginal,point,clean,0.20833333333333334,0.20833333333333334,0.0,4.8,8.25,1.0,0.0,24
43,steady_m05,regime_marginal,point,observed,0.125,0.125,0.0,3.6666666666666665,8.458333333333334,1.0,0.0,24
43,steady_m05,regime_marginal,sma,clean,0.041666666666666664,0.041666666666666664,0.0,9.0,8.875,0.9722222222222222,0.0,24
43,steady_m05,regime_marginal,sma,observed,0.041666666666666664,0.041666666666666664,0.0,8.0,8.833333333333334,0.9722222222222222,0.0,24
43,steady_m1,regime_conditional,ewma,clean,0.08333333333333333,0.08333333333333333,0.0,5.5,8.458333333333334,1.0,0.0,24
