seed,scenario,method,view,regime,window,f1,recall,precision,average_precision,clean_channel_fpr,bystander_fpr,top1_localization,top1_random_baseline,all_faults_row_recall,exact_fault_set_rate,score_coverage,post_event_fpr,false_onsets_per_1000_clean_cells,native_score_coverage,common_row_fraction,all_timeline_recall,all_timeline_f1,unavailable_positive_fraction,comparison
42,count3,regime_conditional,clean,warehouse,stable,0.0,,0.0,,-0.004629629629629628,,,,,,0.0,0.013888888888888888,-13.88888888888889,0.0,0.0,,0.0,,cusum_minus_point
42,count3,regime_conditional,observed,all,all,0.09121547135342845,0.14351851851851852,-0.09577304964539005,0.023416850342567325,0.039021164021164026,0.017361111111111115,0.05787037037037035,0.0,0.14351851851851852,0.14814814814814814,0.0,0.3657407407407407,-8.101851851851851,0.0,0.0,0.14351851851851852,0.09121547135342845,0.0,cusum_minus_point
42,count3,regime_conditional,observed,all,stable,0.09121547135342845,0.14351851851851852,-0.09577304964539005,0.023416850342567325,0.039021164021164026,0.017361111111111115,0.05787037037037035,0.0,0.14351851851851852,0.14814814814814814,0.0,0.3657407407407407,-8.101851851851851,0.0,0.0,0.14351851851851852,0.09121547135342845,0.0,cusum_minus_point
42,count3,regime_conditional,observed,transit_rough,all,0.13554987212276218,0.2361111111111111,-0.16666666666666669,0.024858837866760408,0.04365079365079365,0.017361111111111112,0.1527777777777778,0.0,0.2361111111111111,0.22916666666666669,0.0,0.4791666666666667,-7.440476190476191,0.0,0.0,0.2361111111111111,0.13554987212276218,0.0,cusum_minus_point
42,count3,regime_conditional,observed,transit_rough,stable,0.13554987212276218,0.2361111111111111,-0.16666666666666669,0.024858837866760408,0.04365079365079365,0.017361111111111112,0.1527777777777778,0.0,0.2361111111111111,0.22916666666666669,0.0,0.4791666666666667,-7.440476190476191,0.0,0.0,0.2361111111111111,0.13554987212276218,0.0,cusum_minus_point
42,count3,regime_conditional,observed,transit_smooth,all,0.032430983650495834,0.0763888888888889,-0.13562753036437247,-0.024008689536796607,0.04662698412698413,0.0034722222222222203,-0.01388888888888884,0.0,0.0763888888888889,0.08333333333333334,0.0,0.3819444444444444,-5.9523809523809526,0.0,0.0,0.0763888888888889,0.032430983650495834,0.0,cusum_minus_point
42,count3,regime_conditional,observed,transit_smooth,stable,0.032430983650495834,0.0763888888888889,-0.13562753036437247,-0.024008689536796607,0.04662698412698413,0.0034722222222222203,-0.01388888888888884,0.0,0.0763888888888889,0.08333333333333334,0.0,0.3819444444444444,-5.9523809523809526,0.0,0.0,0.0763888888888889,0.032430983650495834,0.0,cusum_minus_point
42,count3,regime_conditional,observed,warehouse,all,0.09571959553974663,0.11805555555555557,-0.009556437071763402,0.04718049200239144,0.026785714285714288,0.031249999999999997,0.03472222222222221,0.0,0.11805555555555557,0.13194444444444445,0.0,0.2361111111111111,-10.912698412698411,0.0,0.0,0.11805555555555557,0.09571959553974663,0.0,cusum_minus_point
42,count3,regime_conditional,observed,warehouse,stable,0.09571959553974663,0.11805555555555557,-0.009556437071763402,0.04718049200239144,0.026785714285714288,0.031249999999999997,0.03472222222222221,0.0,0.11805555555555557,0.13194444444444445,0.0,0.2361111111111111,-10.912698412698411,0.0,0.0,0.11805555555555557,0.09571959553974663,0.0,cusum_minus_point
42,count3,regime_marginal,clean,all,all,0.0,,0.0,,0.012654320987654321,,,,,,0.0,0.016203703703703703,-6.3271604938271615,0.0,0.0,,0.0,,cusum_minus_point
