scenario,method,temporal,view,any_active_hit_mean,any_active_hit_std,any_active_hit_count,fresh_onset_hit_mean,fresh_onset_hit_std,fresh_onset_hit_count,pre_active_mean,pre_active_std,pre_active_count,fresh_delay_detected_mean,fresh_delay_detected_std,fresh_delay_detected_count,fresh_delay_capped_mean,fresh_delay_capped_std,fresh_delay_capped_count,scoreable_fraction_mean,scoreable_fraction_std,scoreable_fraction_count,fully_unavailable_mean,fully_unavailable_std,fully_unavailable_count,delay_fraction_capped_mean,delay_fraction_capped_std,delay_fraction_capped_count
magnitude4,regime_conditional,ewma,clean,0.10833333333333332,0.0756912588524373,5,0.10833333333333332,0.0756912588524373,5,0.0,0.0,5,6.0,2.943920288775949,4,11.341666666666667,0.5639641438562875,5,1.0,0.0,5,0.0,0.0,5,0.945138888888889,0.04699701198802394,5
magnitude4,regime_conditional,ewma,observed,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.6333333333333334,0.05432668671002208,5,0.6333333333333334,0.05432668671002208,5,1.0,0.0,5,0.0,0.0,5,0.05277777777777777,0.004527223892501838,5
magnitude4,regime_conditional,point,clean,0.175,0.061801654059130524,5,0.175,0.061801654059130524,5,0.0,0.0,5,7.453333333333333,1.6914162376212691,5,11.2,0.369637585270282,5,1.0,0.0,5,0.0,0.0,5,0.9333333333333333,0.030803132105856747,5
magnitude4,regime_conditional,point,observed,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.025,0.03726779962499649,5,0.025,0.03726779962499649,5,1.0,0.0,5,0.0,0.0,5,0.0020833333333333333,0.003105649968749708,5
magnitude4,regime_marginal,cusum,clean,0.041666666666666664,0.0,5,0.016666666666666666,0.02282177322938192,5,0.025,0.02282177322938192,5,5.5,2.1213203435596424,2,11.891666666666666,0.15478479684172286,5,1.0,0.0,5,0.0,0.0,5,0.9909722222222221,0.012898733070143576,5
magnitude4,regime_marginal,cusum,observed,0.9833333333333332,0.03726779962499652,5,0.9083333333333334,0.03486083443891982,5,0.09166666666666666,0.06846531968814577,5,4.190683229813665,0.6993973995805063,5,4.9,0.7641035052050651,5,1.0,0.0,5,0.0,0.0,5,0.4083333333333333,0.0636752921004221,5
magnitude4,regime_marginal,ewma,clean,0.05833333333333333,0.037267799624996496,5,0.05833333333333333,0.037267799624996496,5,0.0,0.0,5,7.125,2.719528145346787,4,11.683333333333334,0.277326021538229,5,1.0,0.0,5,0.0,0.0,5,0.9736111111111111,0.023110501794852422,5
magnitude4,regime_marginal,ewma,observed,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,1.5,0.2263079269000045,5,1.5,0.2263079269000045,5,1.0,0.0,5,0.0,0.0,5,0.125,0.018858993908333708,5
magnitude4,regime_marginal,point,clean,0.11666666666666665,0.07453559924999299,5,0.11666666666666665,0.07453559924999299,5,0.0,0.0,5,6.326666666666666,0.9220749547744057,5,11.375,0.3435921354681384,5,1.0,0.0,5,0.0,0.0,5,0.9479166666666666,0.02863267795567818,5
magnitude4,regime_marginal,point,observed,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.05833333333333333,0.04750730937913075,5,0.05833333333333333,0.04750730937913075,5,1.0,0.0,5,0.0,0.0,5,0.00486111111111111,0.003958942448260895,5
steady_d12_n2_m1,regime_conditional,cusum,clean,0.049999999999999996,0.03486083443891982,5,0.041666666666666664,0.02946278254943948,5,0.016666666666666666,0.02282177322938192,5,7.75,2.5,4,11.8,0.2308649196199184,5,1.0,0.0,5,0.0,0.0,5,0.9833333333333334,0.01923874330165984,5
steady_d12_n2_m1,regime_conditional,cusum,observed,0.65,0.1003466214899358,5,0.6416666666666667,0.10458250331675943,5,0.025,0.03726779962499649,5,6.101258803116389,0.42738429892562635,5,8.225,0.6254165278702932,5,1.0,0.0,5,0.0,0.0,5,0.6854166666666667,0.052118043989191114,5
steady_d12_n2_m1,regime_conditional,ewma,clean,0.10833333333333332,0.0756912588524373,5,0.10833333333333332,0.0756912588524373,5,0.0,0.0,5,6.0,2.943920288775949,4,11.341666666666667,0.5639641438562875,5,1.0,0.0,5,0.0,0.0,5,0.945138888888889,0.04699701198802394,5
steady_d12_n2_m1,regime_conditional,ewma,observed,0.7666666666666667,0.10865337342004414,5,0.7666666666666667,0.10865337342004414,5,0.0,0.0,5,5.000354808590103,0.5217817535520984,5,6.6416666666666675,0.7595457341215354,5,1.0,0.0,5,0.0,0.0,5,0.5534722222222223,0.0632954778434613,5
steady_d12_n2_m1,regime_conditional,point,clean,0.175,0.061801654059130524,5,0.175,0.061801654059130524,5,0.0,0.0,5,7.453333333333333,1.6914162376212691,5,11.2,0.369637585270282,5,1.0,0.0,5,0.0,0.0,5,0.9333333333333333,0.030803132105856747,5
steady_d12_n2_m1,regime_conditional,point,observed,0.6333333333333333,0.10374916331657277,5,0.6333333333333333,0.10374916331657277,5,0.0,0.0,5,4.724143049932524,0.6509872199937946,5,7.416666666666667,0.6353312784157046,5,1.0,0.0,5,0.0,0.0,5,0.6180555555555556,0.052944273201308754,5
steady_d12_n2_m1,regime_marginal,cusum,clean,0.041666666666666664,0.0,5,0.016666666666666666,0.02282177322938192,5,0.025,0.02282177322938192,5,5.5,2.1213203435596424,2,11.891666666666666,0.15478479684172286,5,1.0,0.0,5,0.0,0.0,5,0.9909722222222221,0.012898733070143576,5
steady_d12_n2_m1,regime_marginal,cusum,observed,0.18333333333333332,0.08640183897219884,5,0.15833333333333335,0.09033118078616166,5,0.025,0.02282177322938192,5,7.425000000000001,0.98784276751583,4,11.283333333333335,0.42430498727003213,5,1.0,0.0,5,0.0,0.0,5,0.9402777777777779,0.035358748939169335,5
steady_d12_n2_m1,regime_marginal,ewma,clean,0.05833333333333333,0.037267799624996496,5,0.05833333333333333,0.037267799624996496,5,0.0,0.0,5,7.125,2.719528145346787,4,11.683333333333334,0.277326021538229,5,1.0,0.0,5,0.0,0.0,5,0.9736111111111111,0.023110501794852422,5
steady_d12_n2_m1,regime_marginal,ewma,observed,0.4083333333333333,0.09033118078616165,5,0.4083333333333333,0.09033118078616165,5,0.0,0.0,5,6.308571428571429,0.7944064656415263,5,9.675,0.6356044804401206,5,1.0,0.0,5,0.0,0.0,5,0.80625,0.052967040036676724,5
steady_d12_n2_m1,regime_marginal,point,clean,0.11666666666666665,0.07453559924999299,5,0.11666666666666665,0.07453559924999299,5,0.0,0.0,5,6.326666666666666,0.9220749547744057,5,11.375,0.3435921354681384,5,1.0,0.0,5,0.0,0.0,5,0.9479166666666666,0.02863267795567818,5
